Team,Total Contributions
Baltimore,"<a href=""https://data.sunlightlabs.com/dataset/Orioles-Contributions/k5gz-zs3d"">$1829200</a>"
Boston,"<a href=""https://data.sunlightlabs.com/dataset/Red-Sox-Contributions/6zzr-jz87"">$1367245</a>"
Chicago WS,"<a href=""https://data.sunlightlabs.com/dataset/White-Sox-Contributions/8g3d-ewni"">$260543</a>"
Cleveland,"<a href=""https://data.sunlightlabs.com/dataset/Cleveland-Indians-Contributions/b3eq-bhc9"">$22272</a>"
Detroit,"<a href=""https://data.sunlightlabs.com/dataset/Detroit-Tigers-Contributions/8vgj-hxkr"">$186925</a>"
Houston,"<a href=""https://data.sunlightlabs.com/dataset/Houston-Astros-Contributions/j7dt-xaty"">$55050</a>"
Kansas City,"<a href=""https://data.sunlightlabs.com/dataset/Kansas-City-Royals-Contributions/jz3g-vcfd"">$57902</a>"
LA Angels,"<a href=""https://data.sunlightlabs.com/dataset/Los-Angeles-Angels-Contributions/3w2a-nkuw"">$126250</a>"
Minnesota,"<a href=""https://data.sunlightlabs.com/dataset/Minnesota-Twins-Contributions/7h9c-cxu8"">$644016</a>"
NY Yankees,"<a href=""https://data.sunlightlabs.com/dataset/New-York-Yankees-Contributions/6ykm-52mt"">$43220</a>"
Oakland,"<a href=""https://data.sunlightlabs.com/dataset/Oakland-Athletics-Contributions/3xwp-8xwa"">$5000</a>"
Seattle,"<a href=""https://data.sunlightlabs.com/dataset/Seattle-Mariners-Contributions/j24b-xike"">$488751</a>"
Tampa Bay,"<a href=""https://data.sunlightlabs.com/dataset/Tampa-Bay-Rays-Contributions/ghhw-nxgw"">$20250</a>"
Texas,"<a href=""https://data.sunlightlabs.com/dataset/Texas-Rangers-Contributions/k6ks-c5cr"">$117350</a>"
Toronto,$0 
Arizona,"<a href=""https://data.sunlightlabs.com/dataset/Arizona-Diamondbacks-Contributions/9kne-zgbb"">$366398</a>"
Atlanta,"<a href=""https://data.sunlightlabs.com/dataset/Atlanta-Braves-Contributions/dn6k-d4z3"">$35100</a>"
Chicago Cubs,"<a href=""https://data.sunlightlabs.com/dataset/Chicago-Cubs-Contributions/jkaj-ivuq"">$13917827</a>"
Cincinnati,"<a href=""https://data.sunlightlabs.com/dataset/Cincinnati-Reds-Contributions/rc2h-xbey"">$360565</a>"
Colorado,"<a href=""https://data.sunlightlabs.com/dataset/Colorado-Rockies-Contributions/neh6-3epf"">$246089.6</a>"
LA Dodgers,"<a href=""https://data.sunlightlabs.com/dataset/LA-Dodgers-Contributions/d4dt-8d9t"">$372250</a>"
Miami,"<a href=""https://data.sunlightlabs.com/dataset/Miami-Marlins-Contributions/qxpr-eh2z"">$178550</a>"
Milwaukee,"<a href=""https://data.sunlightlabs.com/dataset/Milwaukee-Brewers-Contributions/wywe-r4xc"">$1030597</a>"
NY Mets,"<a href=""https://data.sunlightlabs.com/dataset/New-York-Mets-Contributions/2pxr-7qt6"">$188394</a>"
Philadelphia,"<a href=""https://data.sunlightlabs.com/dataset/Philadelphia-Phillies-Contributions/d57e-m42j"">$246700</a>"
Pittsburgh,"<a href=""https://data.sunlightlabs.com/dataset/Pittsburgh-Pirates-Contributions/qkv2-9nyr"">$28000</a>"
San Diego,"<a href=""https://data.sunlightlabs.com/dataset/San-Diego-Padres-Contributions/rhfw-3czy"">$92950</a>"
San Francisco,"<a href=""https://data.sunlightlabs.com/dataset/San-Francisco-Giants-Contributions/w3cv-ntjf"">$1566494</a>"
St. Louis,"<a href=""https://data.sunlightlabs.com/dataset/St-Louis-Cardinals-Contributions/vb36-kvq9"">$121637</a>"
Washington,"<a href=""https://data.sunlightlabs.com/dataset/Washington-Nationals-Contributions/xed6-nbz8"">$81375</a>"
